TIME, SSID, BSSID, SIGNAL, ACTIVE
17:12:17.900045  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 34825564 bytes (339943 packets) 	TX: 979786979 bytes (678489 packets) 	signal: -72 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:12:18.899902  Not connected. 

17:12:19.899896  Not connected. 

17:12:20.900014  Not connected. 

17:12:21.900045  Connected to 0c:68:03:84:a1:2e (on wlan0) 	SSID: eduroam 	freq: 5180 	RX: 117845 bytes (1105 packets) 	TX: 3038954 bytes (2118 packets) 	signal: -69 dBm 	tx bitrate: 54.0 MBit/s MCS 3 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

