TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.73 (10.82.31.73) 56(84) bytes of data.
[1489980521.480976] 64 bytes from 10.82.31.73: icmp_seq=285 ttl=61 time=15.6 ms
[1489980522.966225] 64 bytes from 10.82.31.73: icmp_seq=286 ttl=61 time=498 ms
[1489980523.687709] 64 bytes from 10.82.31.73: icmp_seq=287 ttl=61 time=219 ms
[1489980524.641994] 64 bytes from 10.82.31.73: icmp_seq=288 ttl=61 time=172 ms
[1489980525.492700] 64 bytes from 10.82.31.73: icmp_seq=289 ttl=61 time=21.6 ms
[1489980526.486752] 64 bytes from 10.82.31.73: icmp_seq=290 ttl=61 time=13.7 ms
[1489980527.498646] 64 bytes from 10.82.31.73: icmp_seq=291 ttl=61 time=23.6 ms
[1489980528.622986] 64 bytes from 10.82.31.73: icmp_seq=292 ttl=61 time=145 ms
[1489980529.481326] 64 bytes from 10.82.31.73: icmp_seq=293 ttl=61 time=3.10 ms
[1489980530.483038] 64 bytes from 10.82.31.73: icmp_seq=294 ttl=61 time=3.33 ms
[1489980531.491932] 64 bytes from 10.82.31.73: icmp_seq=295 ttl=61 time=10.5 ms
[1489980532.550641] 64 bytes from 10.82.31.73: icmp_seq=296 ttl=61 time=67.3 ms
[1489980533.493390] 64 bytes from 10.82.31.73: icmp_seq=297 ttl=61 time=8.43 ms
[1489980534.588554] 64 bytes from 10.82.31.73: icmp_seq=298 ttl=61 time=101 ms
[1489980535.520449] 64 bytes from 10.82.31.73: icmp_seq=299 ttl=61 time=31.5 ms
[1489980536.692671] 64 bytes from 10.82.31.73: icmp_seq=300 ttl=61 time=201 ms
[1489980537.592416] 64 bytes from 10.82.31.73: icmp_seq=301 ttl=61 time=100 ms
[1489980538.506756] 64 bytes from 10.82.31.73: icmp_seq=302 ttl=61 time=13.0 ms
[1489980539.530383] 64 bytes from 10.82.31.73: icmp_seq=303 ttl=61 time=35.2 ms
[1489980540.523050] 64 bytes from 10.82.31.73: icmp_seq=304 ttl=61 time=26.3 ms
[1489980541.538452] 64 bytes from 10.82.31.73: icmp_seq=305 ttl=61 time=39.9 ms
[1489980542.541384] 64 bytes from 10.82.31.73: icmp_seq=306 ttl=61 time=41.5 ms
[1489980543.762595] 64 bytes from 10.82.31.73: icmp_seq=307 ttl=61 time=260 ms
[1489980544.529168] 64 bytes from 10.82.31.73: icmp_seq=308 ttl=61 time=26.5 ms
[1489980545.547081] 64 bytes from 10.82.31.73: icmp_seq=309 ttl=61 time=42.5 ms
[1489980546.521497] 64 bytes from 10.82.31.73: icmp_seq=310 ttl=61 time=15.2 ms
[1489980547.826746] 64 bytes from 10.82.31.73: icmp_seq=311 ttl=61 time=318 ms
[1489980548.567946] 64 bytes from 10.82.31.73: icmp_seq=312 ttl=61 time=59.2 ms
[1489980549.560676] 64 bytes from 10.82.31.73: icmp_seq=313 ttl=61 time=50.3 ms
[1489980550.535505] 64 bytes from 10.82.31.73: icmp_seq=314 ttl=61 time=23.4 ms
[1489980552.324288] 64 bytes from 10.82.31.73: icmp_seq=315 ttl=61 time=810 ms
[1489980552.533013] 64 bytes from 10.82.31.73: icmp_seq=316 ttl=61 time=19.0 ms
[1489980553.615255] 64 bytes from 10.82.31.73: icmp_seq=317 ttl=61 time=99.8 ms
[1489980554.813059] 64 bytes from 10.82.31.73: icmp_seq=318 ttl=61 time=296 ms
[1489980555.784062] 64 bytes from 10.82.31.73: icmp_seq=319 ttl=61 time=265 ms
[1489980556.530363] 64 bytes from 10.82.31.73: icmp_seq=320 ttl=61 time=11.1 ms
[1489980557.844821] 64 bytes from 10.82.31.73: icmp_seq=321 ttl=61 time=324 ms
[1489980558.893911] 64 bytes from 10.82.31.73: icmp_seq=322 ttl=61 time=371 ms
[1489980559.554591] 64 bytes from 10.82.31.73: icmp_seq=323 ttl=61 time=31.5 ms
[1489980560.589755] 64 bytes from 10.82.31.73: icmp_seq=324 ttl=61 time=64.6 ms
[1489980561.626056] 64 bytes from 10.82.31.73: icmp_seq=325 ttl=61 time=98.8 ms
[1489980562.782060] 64 bytes from 10.82.31.73: icmp_seq=326 ttl=61 time=253 ms
[1489980563.803152] 64 bytes from 10.82.31.73: icmp_seq=327 ttl=61 time=273 ms
[1489980564.635652] 64 bytes from 10.82.31.73: icmp_seq=328 ttl=61 time=105 ms
[1489980565.936571] 64 bytes from 10.82.31.73: icmp_seq=329 ttl=61 time=404 ms
[1489980566.549680] 64 bytes from 10.82.31.73: icmp_seq=330 ttl=61 time=15.9 ms
[1489980567.777121] 64 bytes from 10.82.31.73: icmp_seq=331 ttl=61 time=241 ms
[1489980569.343602] 64 bytes from 10.82.31.73: icmp_seq=332 ttl=61 time=807 ms
